x,y,motor1,motor2,V1,V2,A1,A2
0.54,0.43,-0.04,0.1,0.0,0.000300236451347,-0.000120094580539,0.0
0.55,0.43,-0.05,0.1,0.0,0.000122175871887,-6.10879359434e-05,0.0
0.56,0.43,-0.06,0.1,0.0,4.0685395611e-05,-2.44112373666e-05,0.0
0.57,0.43,-0.07,0.1,0.0,1.10897049446e-05,-7.76279346119e-06,0.0
0.58,0.43,-0.08,0.1,0.0,2.47455423489e-06,-1.97964338791e-06,0.0
0.59,0.43,-0.09,0.1,0.0,4.52064859581e-07,-4.06858373623e-07,0.0
0.6,0.43,-0.1,0.1,0.0,6.76148468192e-08,-6.76148468192e-08,0.0
0.61,0.43,-0.11,0.1,0.0,8.27987509479e-09,-9.10786260427e-09,0.0
0.62,0.43,-0.12,0.1,0.0,8.30130734094e-10,-9.96156880913e-10,0.0
0.63,0.43,-0.13,0.1,0.0,6.81412804254e-11,-8.8583664553e-11,0.0
0.64,0.43,-0.14,0.1,0.0,4.57946969119e-12,-6.41125756766e-12,0.0
0.65,0.43,-0.15,0.1,0.0,2.51977168565e-13,-3.77965752848e-13,0.0
0.35,0.44,0.15,0.1,0.0,9.24578984929e-13,1.38686847739e-12,0.0
0.36,0.44,0.14,0.1,0.0,1.68034328763e-11,2.35248060268e-11,0.0
0.37,0.44,0.13,0.1,0.0,2.50030572965e-10,3.25039744854e-10,0.0
0.38,0.44,0.12,0.1,0.0,3.04599590255e-09,3.65519508306e-09,0.0
0.39,0.44,0.11,0.1,0.0,3.03813147363e-08,3.34194462099e-08,0.0
0.4,0.44,0.1,0.1,0.0,2.48098708226e-07,2.48098708226e-07,0.0
0.41,0.44,0.09,0.1,0.0,1.65875007478e-06,1.4928750673e-06,0.0
0.42,0.44,0.08,0.1,0.0,9.07957374049e-06,7.26365899239e-06,0.0
0.43,0.44,0.07,0.1,0.0,4.0685395611e-05,2.84797769277e-05,0.0
0.44,0.44,0.06,0.1,0.0,0.000149205766767,8.95234600604e-05,0.0
0.45,0.44,0.05,0.1,0.0,0.000447569704255,0.000223784852128,0.0
0.46,0.44,0.04,0.1,0.0,0.00109725977989,0.000438903911956,0.0
0.47,0.44,0.03,0.1,0.0,0.00219738852612,0.000659216557836,0.0
0.48,0.44,0.02,0.1,0.0,0.00359724199242,0.000719448398484,0.0
0.49,0.44,0.01,0.1,0.0,0.00482540428353,0.000482540428353,0.0
0.5,0.44,-1.11022302463e-16,0.1,0.0,0.00531939871537,-5.90571893097e-18,0.0
0.51,0.44,-0.01,0.1,0.0,0.00482540428353,-0.000482540428353,0.0
0.52,0.44,-0.02,0.1,0.0,0.00359724199242,-0.000719448398484,0.0
0.53,0.44,-0.03,0.1,0.0,0.00219738852612,-0.000659216557836,0.0
0.54,0.44,-0.04,0.1,0.0,0.00109725977989,-0.000438903911956,0.0
0.55,0.44,-0.05,0.1,0.0,0.000447569704255,-0.000223784852128,0.0
0.56,0.44,-0.06,0.1,0.0,0.000149205766767,-8.95234600604e-05,0.0
0.57,0.44,-0.07,0.1,0.0,4.0685395611e-05,-2.84797769277e-05,0.0
0.58,0.44,-0.08,0.1,0.0,9.07957374049e-06,-7.26365899239e-06,0.0
0.59,0.44,-0.09,0.1,0.0,1.65875007478e-06,-1.4928750673e-06,0.0
0.6,0.44,-0.1,0.1,0.0,2.48098708226e-07,-2.48098708226e-07,0.0
0.61,0.44,-0.11,0.1,0.0,3.03813147363e-08,-3.34194462099e-08,0.0
0.62,0.44,-0.12,0.1,0.0,3.04599590255e-09,-3.65519508306e-09,0.0
0.63,0.44,-0.13,0.1,0.0,2.50030572965e-10,-3.25039744854e-10,0.0
